17.12.2017	14.396,5	19.346,6	19.870,6	10.875,7	1,46M	-25.58%
10.12.2017	19.345,5	14.840,0	19.587,7	13.031,0	1,02M	+30.33%
03.12.2017	14.843,4	10.912,7	17.294,8	10.578,4	1,26M	+36.02%
26.11.2017	10.912,7	8.754,6	11.417,8	8.746,6	919,63K	+24.65%
19.11.2017	8.754,7	7.781,0	8.762,0	7.675,4	551,27K	+12.51%
12.11.2017	7.780,9	6.339,9	8.000,2	5.493,6	1,00M	+22.73%
05.11.2017	6.339,9	7.363,8	7.869,1	6.197,9	1,07M	-13.91%
29.10.2017	7.363,8	5.726,6	7.492,2	5.679,4	976,41K	+28.59%
22.10.2017	5.726,6	6.006,6	6.070,6	5.375,6	722,59K	-4.66%
15.10.2017	6.006,6	5.824,7	6.187,2	5.114,9	670,51K	+3.12%
08.10.2017	5.824,7	4.435,8	5.852,8	4.419,4	805,69K	+31.31%
01.10.2017	4.435,8	4.360,6	4.477,4	4.143,4	443,24K	+1.72%
24.09.2017	4.360,6	3.788,0	4.383,3	3.633,9	588,23K	+15.12%
17.09.2017	3.788,0	3.698,9	4.122,8	3.485,8	781,52K	+2.41%
10.09.2017	3.698,9	4.335,1	4.387,8	2.979,9	1,43M	-14.68%
03.09.2017	4.335,1	4.573,8	4.719,8	4.004,6	870,55K	-5.22%
27.08.2017	4.573,8	4.352,3	4.976,5	4.195,2	622,35K	+5.09%
20.08.2017	4.352,3	4.150,5	4.461,7	3.612,2	628,02K	+4.86%
13.08.2017	4.150,5	3.871,6	4.487,5	3.837,1	997,13K	+7.20%
06.08.2017	3.871,6	3.262,8	3.967,3	3.166,5	644,93K	+18.66%
30.07.2017	3.262,8	2.733,5	3.344,0	2.621,7	675,09K	+19.36%
23.07.2017	2.733,5	2.836,5	2.856,7	2.441,5	859,86K	-3.63%
16.07.2017	2.836,5	1.975,1	2.932,8	1.809,0	1,35M	+43.62%
09.07.2017	1.975,1	2.564,9	2.576,7	1.974,0	777,01K	-22.99%
02.07.2017	2.564,9	2.424,6	2.658,7	2.375,9	526,68K	+5.78%
25.06.2017	2.424,6	2.590,1	2.660,7	2.309,6	737,13K	-6.39%
18.06.2017	2.590,1	2.655,1	2.804,4	2.488,6	623,37K	-2.45%
11.06.2017	2.655,1	2.900,3	2.985,1	2.125,6	1,07M	-8.45%
04.06.2017	2.900,3	2.545,4	2.931,2	2.478,2	710,05K	+13.94%
28.05.2017	2.545,4	2.052,4	2.582,8	2.051,1	732,63K	+24.02%
21.05.2017	2.052,4	2.040,2	2.781,8	1.868,6	1,18M	+0.60%
14.05.2017	2.040,2	1.763,7	2.048,4	1.653,7	552,75K	+15.67%
07.05.2017	1.763,7	1.545,3	1.864,8	1.495,2	689,31K	+14.14%
30.04.2017	1.545,3	1.336,3	1.609,8	1.309,7	609,50K	+15.64%
23.04.2017	1.336,3	1.240,9	1.356,2	1.223,1	364,25K	+7.69%
16.04.2017	1.240,9	1.177,0	1.257,0	1.166,7	301,86K	+5.43%
09.04.2017	1.177,0	1.180,8	1.229,6	841,5	309,20K	-0.32%
02.04.2017	1.180,8	1.086,1	1.201,6	1.074,2	495,23K	+8.72%
26.03.2017	1.086,1	966,3	1.103,7	946,7	542,07K	+12.40%
19.03.2017	966,3	971,4	1.125,5	890,4	691,92K	-0.52%
12.03.2017	971,4	1.179,2	1.260,2	940,2	700,54K	-17.63%
05.03.2017	1.179,2	1.264,3	1.330,4	988,7	563,14K	-6.73%
26.02.2017	1.264,3	1.149,1	1.291,3	1.130,6	352,15K	+10.03%
19.02.2017	1.149,1	1.052,3	1.211,7	1.037,7	373,70K	+9.20%
12.02.2017	1.052,3	1.008,3	1.063,2	975,1	219,71K	+4.36%
05.02.2017	1.008,3	1.031,8	1.073,0	924,7	404,97K	-2.28%
29.01.2017	1.031,8	918,5	1.041,0	911,5	282,01K	+12.34%
22.01.2017	918,5	919,8	938,4	883,6	256,52K	-0.14%
15.01.2017	919,8	819,6	928,9	808,6	346,77K	+12.23%
08.01.2017	819,6	888,9	936,1	739,5	641,94K	-7.79%
01.01.2017	888,9	963,4	1.150,6	806,7	1,65M	-7.73%
25.12.2016	963,4	891,1	982,6	851,4	367,77K	+8.11%
18.12.2016	891,1	787,2	920,5	783,8	358,58K	+13.20%
11.12.2016	787,2	774,0	791,6	763,0	181,20K	+1.70%
04.12.2016	774,0	764,2	777,0	746,0	209,60K	+1.28%
27.11.2016	764,2	734,1	779,0	727,1	283,01K	+4.10%
20.11.2016	734,1	747,9	754,0	712,8	250,91K	-1.84%
13.11.2016	747,9	704,3	755,3	685,0	322,97K	+6.19%
06.11.2016	704,3	702,1	741,2	697,6	253,50K	+0.31%
30.10.2016	702,1	715,0	744,4	670,4	351,15K	-1.80%
23.10.2016	715,0	655,5	720,2	645,7	279,12K	+9.07%
16.10.2016	655,5	637,0	659,9	624,1	186,59K	+2.90%
09.10.2016	637,0	617,7	642,5	612,8	190,80K	+3.14%
02.10.2016	617,7	613,4	619,6	606,5	154,85K	+0.69%
25.09.2016	613,4	602,6	615,0	598,2	151,47K	+1.80%
18.09.2016	602,6	607,1	612,4	591,7	158,87K	-0.74%
11.09.2016	607,1	624,5	630,8	592,8	176,68K	-2.79%
04.09.2016	624,5	598,8	629,3	590,8	190,28K	+4.29%
28.08.2016	598,8	570,3	705,0	569,2	177,29K	+5.00%
21.08.2016	570,3	582,6	591,9	567,3	180,45K	-2.10%
14.08.2016	582,6	584,6	585,8	559,3	216,33K	-0.34%
07.08.2016	584,6	586,5	600,5	580,9	211,25K	-0.32%
31.07.2016	586,5	654,7	654,9	471,4	444,48K	-10.43%
24.07.2016	654,7	655,2	664,2	643,5	217,98K	-0.06%
17.07.2016	655,2	660,7	680,9	645,7	285,32K	-0.84%
10.07.2016	660,7	651,8	673,2	636,8	309,16K	+1.36%
03.07.2016	651,8	698,1	701,5	605,0	590,38K	-6.62%
26.06.2016	698,1	663,5	700,5	609,9	593,43K	+5.21%
19.06.2016	663,5	753,8	765,1	539,3	1,18M	-11.97%
12.06.2016	753,8	591,6	776,0	592,8	1,21M	+27.41%
05.06.2016	591,6	572,0	592,6	543,6	398,83K	+3.44%
29.05.2016	572,0	524,2	592,7	493,2	663,12K	+9.10%
22.05.2016	524,2	443,6	531,8	436,9	459,13K	+18.16%
15.05.2016	443,6	456,4	460,3	435,4	255,85K	-2.80%
08.05.2016	456,4	458,5	464,2	446,8	277,91K	-0.44%
01.05.2016	458,5	448,5	461,5	440,2	326,08K	+2.21%
24.04.2016	448,5	450,1	468,9	433,9	476,55K	-0.34%
17.04.2016	450,1	430,0	451,5	423,8	333,40K	+4.66%
10.04.2016	430,0	418,0	432,0	416,7	269,29K	+2.87%
03.04.2016	418,0	418,5	423,7	412,4	242,22K	-0.11%
27.03.2016	418,5	416,5	427,4	406,4	328,93K	+0.48%
20.03.2016	416,5	408,7	419,6	407,2	264,86K	+1.91%
13.03.2016	408,7	410,4	419,6	402,1	324,33K	-0.41%
06.03.2016	410,4	399,0	422,4	393,1	405,06K	+2.85%
28.02.2016	399,0	431,3	441,3	386,9	528,15K	-7.49%
21.02.2016	431,3	440,1	447,6	410,4	466,28K	-1.99%
14.02.2016	440,1	390,1	442,7	390,1	559,58K	+12.81%
07.02.2016	390,1	376,7	392,6	371,4	420,40K	+3.56%
31.01.2016	376,7	377,8	391,8	365,3	465,80K	-0.29%
24.01.2016	377,8	388,6	405,4	363,5	484,64K	-2.79%
17.01.2016	388,6	385,0	425,7	373,2	688,23K	+0.93%
10.01.2016	385,0	448,3	451,1	350,4	735,95K	-14.11%
03.01.2016	448,3	433,7	462,9	423,1	457,61K	+3.36%
27.12.2015	433,7	415,4	438,0	406,1	420,60K	+4.42%
20.12.2015	415,4	461,2	462,8	400,5	703,13K	-9.94%
13.12.2015	461,2	432,3	466,1	420,8	784,64K	+6.69%
06.12.2015	432,3	386,7	467,7	381,7	908,49K	+11.79%
29.11.2015	386,7	355,8	390,3	347,2	664,46K	+8.67%
22.11.2015	355,8	324,7	368,9	315,5	578,86K	+9.59%
